ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
M50,M,50,54,0,55,Clean & Jerk,,,,
M50,M,50,54,0,55,Total,,,,
M50,M,50,54,55,61,Snatch,,,,
M50,M,50,54,55,61,Clean & Jerk,,,,
M50,M,50,54,55,61,Total,,,,
M50,M,50,54,61,67,Snatch,58,John Destacamento,2019-08-10,Tommy Kono Memorial
M50,M,50,54,61,67,Clean & Jerk,75,John Destacamento,2019-08-10,Tommy Kono Memorial
M50,M,50,54,61,67,Total,133,John Destacamento,2019-08-10,Tommy Kono Memorial
M50,M,50,54,67,73,Snatch,75,CHIN SONU,2023-03-16,2023 National Masters Championships
M50,M,50,54,67,73,Clean & Jerk,110,CHIN SONU,2023-03-16,2023 National Masters Championships
M50,M,50,54,67,73,Total,185,CHIN SONU,2023-03-16,2023 National Masters Championships
M50,M,50,54,73,81,Snatch,91,Gerald See,2021-07-31,Hassle Free Summer Breaker
M50,M,50,54,73,81,Clean & Jerk,110,David Conragan,2021-05-23,2021 Heavy Athletics Open
M50,M,50,54,73,81,Total,200,Gerald See,2021-07-31,Hassle Free Summer Breaker
M50,M,50,54,81,89,Snatch,91,John Bourgeois,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M50,M,50,54,81,89,Clean & Jerk,111,John Bourgeois,2024-01-13,Bar Wars 2024
M50,M,50,54,81,89,Total,200,John Bourgeois,2024-01-13,Bar Wars 2024
M50,M,50,54,89,96,Snatch,76,Alan Reese,2021-08-08,Tommy Kono Memorial XV
M50,M,50,54,89,96,Clean & Jerk,98,Alan Reese,2021-08-08,Tommy Kono Memorial XV
M50,M,50,54,89,96,Total,174,Alan Reese,2021-08-08,Tommy Kono Memorial XV
M50,M,50,54,96,102,Snatch,106,Roy Lesui,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M50,M,50,54,96,102,Clean & Jerk,121,Roy Lesui,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M50,M,50,54,96,102,Total,227,Roy Lesui,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M50,M,50,54,102,109,Snatch,68,Travis Johnson,2025-03-22,Power House Open 2025
M50,M,50,54,102,109,Clean & Jerk,100,Travis Johnson,2025-03-22,Power House Open 2025
M50,M,50,54,102,109,Total,168,Travis Johnson,2025-03-22,Power House Open 2025
M50,M,50,54,109,>109,Snatch,66,Jeffrey Carpenter,2019-04-20,Silicon Valley: SPRING OPEN
M50,M,50,54,109,>109,Clean & Jerk,98,Jeffrey Carpenter,2019-04-20,Silicon Valley: SPRING OPEN
M50,M,50,54,109,>109,Total,164,Jeffrey Carpenter,2019-04-20,Silicon Valley: SPRING OPEN
W55,F,55,59,0,45,Snatch,,,,
W55,F,55,59,0,45,Clean & Jerk,,,,
W55,F,55,59,0,45,Total,,,,
W55,F,55,59,0,49,Snatch,,,,
W55,F,55,59,0,49,Clean & Jerk,,,,
